,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
316,Yersinia enterocolitica[gi|49131xxxx],Escherichia coli[gi|70604xxxx],Vibrio genomosp. F10[gi|51560xxxx],Proteobacteria[gi|49432xxxx],Pseudomonas aeruginosa[gi|64428xxxx],Pseudomonas aeruginosa[gi|87240xxxx],Acinetobacter baumannii 144107[gi|58820xxxx],,Enterobacter sp. MGH 4[gi|57833xxxx],Enterobacter sp. MGH 15[gi|57829xxxx],Enterobacter hormaechei subsp. oharae[gi|77134xxxx]
317,Yersinia enterocolitica subsp. enterocolitica WA-314[gi|40451xxxx],Escherichia coli[gi|70604xxxx],Teredinibacter turnerae[gi|65549xxxx],Burkholderia sp. Ch1-1[gi|38518xxxx],Pseudomonas aeruginosa PA38182[gi|57587xxxx],Pseudomonas aeruginosa[gi|87243xxxx],Bacillus cereus AH676[gi|22872xxxx],,Enterobacter sp. MGH 6[gi|57833xxxx],Enterobacter sp. MGH 12[gi|57830xxxx],Enterobacter hormaechei subsp. oharae[gi|77135xxxx]
318,Yersinia enterocolitica[gi|68518xxxx],Escherichia coli[gi|70605xxxx],Shewanella[gi|73956xxxx],Pandoraea apista[gi|87392xxxx],Pseudomonas aeruginosa[gi|87205xxxx],Pseudomonas aeruginosa[gi|87244xxxx],Pseudomonas syringae[gi|48952xxxx],,Enterobacter sp. MGH 1[gi|57834xxxx],Enterobacter sp. MGH 11[gi|57831xxxx],Enterobacter hormaechei subsp. oharae[gi|77136xxxx]
319,Yersinia enterocolitica[gi|75528xxxx],Escherichia coli[gi|70606xxxx],Psychromonas arctica[gi|65548xxxx],Pandoraea apista[gi|85764xxxx],Pseudomonas aeruginosa[gi|87206xxxx],Pseudomonas aeruginosa[gi|87246xxxx],Pseudomonas syringae BRIP34876[gi|44035xxxx],,Enterobacter sp. MGH 3[gi|57835xxxx],Enterobacter sp. MGH 9[gi|57831xxxx],Enterobacter hormaechei subsp. oharae[gi|77138xxxx]
320,Yersinia enterocolitica[gi|89303xxxx],Salmonella enterica subsp. enterica[gi|73582xxxx],Pseudoalteromonas citrea[gi|49804xxxx],Bordetella bronchiseptica[gi|91375xxxx],Pseudomonas aeruginosa[gi|87207xxxx],Pseudomonas aeruginosa[gi|87251xxxx],Pseudomonas syringae BRIP34881[gi|44036xxxx],,Enterobacter sp. MGH 2[gi|57835xxxx],Enterobacter sp. MGH 10[gi|57831xxxx],Enterobacter hormaechei subsp. oharae[gi|77139xxxx]
321,Yersinia enterocolitica[gi|89307xxxx],Escherichia coli[gi|76348xxxx],Pseudoalteromonas citrea DSM 8771[gi|54025xxxx],Proteobacteria[gi|48955xxxx],Pseudomonas aeruginosa[gi|87209xxxx],Pseudomonas aeruginosa[gi|87255xxxx],Acinetobacter calcoaceticus/baumannii complex[gi|49127xxxx],,Enterobacter sp. BWH 27[gi|61232xxxx],Enterobacter sp. MGH 5[gi|57833xxxx],Enterobacter hormaechei subsp. oharae[gi|77139xxxx]
322,Photorhabdus temperata[gi|82254xxxx],Escherichia coli[gi|76349xxxx],Pseudoalteromonas sp. TB51[gi|65875xxxx],Pseudomonas aeruginosa PA45[gi|47755xxxx],Pseudomonas aeruginosa[gi|87209xxxx],Pseudomonas aeruginosa[gi|87260xxxx],Acinetobacter baumannii NIPH 80[gi|48013xxxx],,Citrobacter freundii CFNIH1[gi|61973xxxx],Enterobacter sp. MGH 6[gi|57833xxxx],Enterobacter hormaechei subsp. oharae[gi|77139xxxx]
323,Photorhabdus temperata subsp. thracensis[gi|82209xxxx],Escherichia coli[gi|76350xxxx],Vibrio parahaemolyticus[gi|22127xxxx],Delftia acidovorans CCUG 15835[gi|51204xxxx],Pseudomonas aeruginosa[gi|87211xxxx],Pseudomonas aeruginosa[gi|87261xxxx],Xanthomonas citri pv. aurantifolii str. ICPB 10535[gi|29260xxxx],,Enterobacter cloacae BIDMC 67[gi|63576xxxx],Enterobacter sp. MGH 1[gi|57834xxxx],Enterobacter hormaechei subsp. oharae[gi|77140xxxx]
324,Chromobacterium violaceum[gi|75993xxxx],Escherichia coli[gi|76351xxxx],Marinomonas sp. S3726[gi|91914xxxx],Ralstonia sp. AU12-08[gi|52818xxxx],Pseudomonas aeruginosa[gi|87211xxxx],Pseudomonas aeruginosa[gi|87262xxxx],Xanthomonas[gi|64819xxxx],,Enterobacter cloacae BWH 43[gi|63576xxxx],Enterobacter sp. MGH 3[gi|57835xxxx],Enterobacter hormaechei subsp. oharae[gi|77141xxxx]
325,Photorhabdus luminescens[gi|73889xxxx],Escherichia coli[gi|76351xxxx],Teredinibacter turnerae[gi|51843xxxx],Pseudomonas aeruginosa CF5[gi|55271xxxx],Pseudomonas aeruginosa[gi|87212xxxx],Pseudomonas aeruginosa[gi|87262xxxx],Xanthomonas perforans[gi|82186xxxx],,Enterobacter cloacae MGH 53[gi|63577xxxx],Enterobacter sp. MGH 2[gi|57835xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77142xxxx]
326,Photorhabdus luminescens BA1[gi|60417xxxx],Escherichia coli[gi|76352xxxx],Vibrio parahaemolyticus[gi|64745xxxx],Pseudomonas aeruginosa BWH031[gi|61179xxxx],Pseudomonas aeruginosa[gi|87213xxxx],Pseudomonas aeruginosa[gi|87264xxxx],Xanthomonas perforans[gi|82187xxxx],,Enterobacter cloacae CHS 79[gi|63577xxxx],Enterobacter sp. BWH 27[gi|61232xxxx],Enterobacter hormaechei subsp. oharae[gi|77142xxxx]
327,Yersinia enterocolitica[gi|90163xxxx],Escherichia coli[gi|76353xxxx],Vibrio parahaemolyticus[gi|92202xxxx],Pantoea sp. PSNIH2[gi|72324xxxx],Pseudomonas aeruginosa[gi|87214xxxx],Pseudomonas aeruginosa[gi|87264xxxx],Xanthomonas perforans[gi|82187xxxx],,Lelliottia amnigena CHS 78[gi|63647xxxx],Enterobacter cloacae BIDMC 66[gi|63574xxxx],Enterobacter hormaechei subsp. oharae[gi|77143xxxx]
328,Acinetobacter sp. ADP1[gi|4953xxxx],Escherichia coli[gi|74903xxxx],Vibrio parahaemolyticus[gi|91645xxxx],Pandoraea apista[gi|74918xxxx],Pseudomonas aeruginosa[gi|87215xxxx],Pseudomonas aeruginosa[gi|87265xxxx],Xanthomonas perforans[gi|82190xxxx],,Klebsiella pneumoniae subsp. pneumoniae KPNIH27[gi|64085xxxx],Enterobacter cloacae BIDMC 67[gi|63576xxxx],Enterobacter hormaechei subsp. oharae[gi|77144xxxx]
329,Acinetobacter[gi|49106xxxx],Escherichia coli[gi|74811xxxx],Moritella marina[gi|51827xxxx],Pseudomonas aeruginosa[gi|81762xxxx],Pseudomonas aeruginosa[gi|87216xxxx],Proteobacteria[gi|55378xxxx],Xanthomonas perforans[gi|82191xxxx],,Klebsiella oxytoca KONIH1[gi|66057xxxx],Enterobacter cloacae BWH 43[gi|63576xxxx],Enterobacter cloacae[gi|77246xxxx]
330,Acinetobacter baylyi DSM 14961 = CIP 107474[gi|48001xxxx],Vibrio vulnificus[gi|76303xxxx],Pseudoalteromonas arctica[gi|49823xxxx],Pandoraea apista[gi|82248xxxx],Pseudomonas aeruginosa[gi|87216xxxx],Pseudomonas aeruginosa BWHPSA011[gi|55241xxxx],Xanthomonas perforans[gi|82195xxxx],,Klebsiella michiganensis[gi|66270xxxx],Enterobacter cloacae MGH 53[gi|63577xxxx],Enterobacter cloacae[gi|77246xxxx]
331,Cohnella panacarvi[gi|73713xxxx],Vibrio harveyi group[gi|91588xxxx],Vibrio parahaemolyticus[gi|67048xxxx],Pandoraea apista[gi|82741xxxx],Pseudomonas aeruginosa[gi|87217xxxx],Pseudomonas chloritidismutans[gi|55781xxxx],Xanthomonas perforans[gi|82196xxxx],,Enterobacter cloacae ECNIH2[gi|66271xxxx],Lelliottia amnigena CHS 78[gi|63647xxxx],Enterobacter cloacae[gi|77246xxxx]
332,Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx],Vibrio alginolyticus[gi|91769xxxx],Psychromonas ingrahamii[gi|50009xxxx],Pseudomonas aeruginosa[gi|87249xxxx],Pseudomonas aeruginosa[gi|87219xxxx],Pseudomonas chloritidismutans AW-1[gi|55736xxxx],Xanthomonas perforans[gi|82196xxxx],,Enterobacter cloacae ECNIH2[gi|66271xxxx],Klebsiella oxytoca KONIH1[gi|66057xxxx],Enterobacter cloacae[gi|77247xxxx]
333,Enterobacter hormaechei subsp. steigerwaltii[gi|77113xxxx],Pseudoalteromonas sp. P1-8[gi|94182xxxx],Psychromonas ingrahamii 37[gi|11986xxxx],Pseudomonas aeruginosa[gi|87252xxxx],Pseudomonas aeruginosa[gi|87220xxxx],Dyella ginsengisoli[gi|51603xxxx],Xanthomonas perforans[gi|82197xxxx],,Enterobacter cloacae ECNIH2[gi|66271xxxx],Enterobacter cloacae ECNIH2[gi|66271xxxx],Enterobacter cloacae[gi|77248xxxx]
334,Enterobacter hormaechei subsp. steigerwaltii[gi|77120xxxx],Pseudoalteromonas sp. P1-8[gi|93994xxxx],Vibrio parahaemolyticus O1:Kuk str. FDA_R31[gi|52383xxxx],Pseudomonas aeruginosa[gi|87260xxxx],Pseudomonas aeruginosa[gi|87220xxxx],Pseudomonas thivervalensis[gi|92124xxxx],Xanthomonas perforans[gi|82197xxxx],,Enterobacter cloacae ECNIH3[gi|68211xxxx],Enterobacter cloacae ECNIH2[gi|66271xxxx],Enterobacter cloacae[gi|77248xxxx]
335,Enterobacter hormaechei subsp. steigerwaltii[gi|77128xxxx],Alteromonas naphthalenivorans[gi|50355xxxx],Vibrio parahaemolyticus[gi|54507xxxx],Klebsiella oxytoca 10-5244[gi|88886xxxx],Pseudomonas aeruginosa[gi|87221xxxx],Pseudomonas pelagia[gi|55134xxxx],Xanthomonas perforans[gi|82198xxxx],,Enterobacter cloacae ECR091[gi|68211xxxx],Enterobacter cloacae[gi|72322xxxx],Enterobacter cloacae[gi|77249xxxx]
336,Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx],Alteromonas naphthalenivorans[gi|33299xxxx],Vibrio parahaemolyticus 10290[gi|53237xxxx],Achromobacter xylosoxidans[gi|92328xxxx],Pseudomonas aeruginosa[gi|87222xxxx],Pseudomonas aeruginosa[gi|73052xxxx],Xanthomonas perforans[gi|82198xxxx],,Enterobacter hormaechei subsp. oharae[gi|72310xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|73353xxxx],Enterobacter cloacae[gi|77249xxxx]
337,Delftia[gi|80807xxxx],Pseudoalteromonas spongiae[gi|75035xxxx],Vibrio parahaemolyticus VP2007-095[gi|53238xxxx],Achromobacter xylosoxidans[gi|92328xxxx],Pseudomonas aeruginosa[gi|87226xxxx],Kingella denitrificans[gi|75027xxxx],Acinetobacter baumannii[gi|74052xxxx],,Enterobacter cloacae[gi|72322xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|74298xxxx],Enterobacter cloacae[gi|77250xxxx]
338,Burkholderia[gi|92517xxxx],Enterobacteriaceae[gi|85197xxxx],Vibrio parahaemolyticus 10296[gi|56038xxxx],Achromobacter xylosoxidans[gi|92328xxxx],Pseudomonas aeruginosa[gi|87228xxxx],Xanthomonas citri pv. aurantifolii str. ICPB 10535[gi|29260xxxx],Acinetobacter soli[gi|49108xxxx],,Enterobacter cloacae[gi|72322xxxx],Enterobacter hormaechei subsp. hormaechei[gi|74298xxxx],Enterobacter cloacae[gi|77250xxxx]
339,Burkholderia pseudomallei[gi|92457xxxx],Enterobacteriaceae[gi|75716xxxx],Vibrio parahaemolyticus 12310[gi|56275xxxx],Achromobacter xylosoxidans[gi|92329xxxx],Pseudomonas aeruginosa[gi|87229xxxx],Pseudomonas aeruginosa[gi|73052xxxx],Acinetobacter soli NIPH 2899[gi|48002xxxx],,Pantoea sp. PSNIH1[gi|72325xxxx],Enterobacter hormaechei subsp. oharae[gi|74299xxxx],Enterobacter cloacae[gi|77251xxxx]
340,Pantoea agglomerans[gi|66592xxxx],Escherichia coli[gi|72989xxxx],Vibrio parahaemolyticus 3256[gi|57352xxxx],Achromobacter xylosoxidans[gi|92330xxxx],Pseudomonas aeruginosa[gi|87230xxxx],Pseudomonas[gi|55376xxxx],Stenotrophomonas maltophilia[gi|69639xxxx],,Enterobacter hormaechei subsp. oharae[gi|73352xxxx],Klebsiella pneumoniae[gi|74902xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79422xxxx]
341,Escherichia coli[gi|72986xxxx],Vibrio parahaemolyticus[gi|65902xxxx],Vibrio parahaemolyticus SBR10290[gi|57555xxxx],Achromobacter xylosoxidans[gi|92330xxxx],Pseudomonas aeruginosa[gi|87231xxxx],Pseudomonas aeruginosa BWHPSA022[gi|55235xxxx],Acinetobacter[gi|44649xxxx],,Enterobacter hormaechei subsp. oharae[gi|73352xxxx],Cronobacter malonaticus ENBT0334[gi|75864xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79422xxxx]
342,Escherichia coli[gi|72986xxxx],Vibrio shilonii[gi|49296xxxx],Vibrio parahaemolyticus 50[gi|57351xxxx],Achromobacter xylosoxidans[gi|92331xxxx],Pseudomonas aeruginosa[gi|87232xxxx],Pseudomonas aeruginosa BWHPSA017[gi|55239xxxx],Acinetobacter sp. NIPH 542[gi|48021xxxx],,Enterobacter hormaechei subsp. oharae[gi|73352xxxx],Enterobacter cloacae[gi|76863xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79424xxxx]
343,Escherichia coli[gi|44683xxxx],Vibrio shilonii AK1[gi|14883xxxx],Vibrio parahaemolyticus 97-10290[gi|75796xxxx],Achromobacter xylosoxidans[gi|92872xxxx],Pseudomonas aeruginosa[gi|87234xxxx],Pseudomonas aeruginosa BWHPSA003[gi|55244xxxx],Acinetobacter baumannii UH5207[gi|57168xxxx],,Enterobacter hormaechei subsp. steigerwaltii[gi|73353xxxx],Enterobacter hormaechei subsp. oharae[gi|77096xxxx],Enterobacter hormaechei subsp. oharae[gi|79426xxxx]
344,Escherichia coli TX1999[gi|34539xxxx],Pseudoalteromonas sp. P1-25[gi|94064xxxx],Vibrio parahaemolyticus EN9701173[gi|75797xxxx],Achromobacter xylosoxidans[gi|92873xxxx],Pseudomonas aeruginosa[gi|87234xxxx],Pseudomonas aeruginosa BL24[gi|55258xxxx],Acinetobacter baumannii 1096934[gi|58813xxxx],,Enterobacter hormaechei subsp. oharae[gi|73353xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77097xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79428xxxx]
345,Escherichia coli KTE166[gi|43165xxxx],Escherichia[gi|58523xxxx],Vibrio parahaemolyticus 12315[gi|75797xxxx],Achromobacter xylosoxidans[gi|92876xxxx],Pseudomonas aeruginosa[gi|87236xxxx],Pseudomonas[gi|55377xxxx],Acinetobacter baumannii 831240[gi|58824xxxx],,Enterobacter hormaechei subsp. oharae[gi|73354xxxx],Enterobacter hormaechei subsp. oharae[gi|77097xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79429xxxx]
346,Escherichia coli KTE222[gi|50836xxxx],Vibrio[gi|50362xxxx],Vibrio parahaemolyticus 846[gi|75798xxxx],Pseudomonas stutzeri B1SMN1[gi|51632xxxx],Pseudomonas aeruginosa[gi|87236xxxx],Pseudomonas aeruginosa BL04[gi|55231xxxx],Acinetobacter baumannii 855125[gi|63046xxxx],,Enterobacter hormaechei subsp. oharae[gi|73354xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77098xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79429xxxx]
347,Escherichia coli HVH 18 (4-8589585)[gi|53461xxxx],Vibrio anguillarum 775[gi|33534xxxx],Vibrio parahaemolyticus 3324[gi|75798xxxx],Flavobacterium sp. Leaf82[gi|94758xxxx],Pseudomonas aeruginosa[gi|87237xxxx],Verminephrobacter eiseniae[gi|50013xxxx],Acinetobacter baumannii[gi|74181xxxx],,Enterobacter hormaechei subsp. oharae[gi|73355xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77098xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79430xxxx]
348,Escherichia coli HVH 164 (4-5953081)[gi|53514xxxx],Aeromonas[gi|83529xxxx],Vibrio parahaemolyticus EN9901310[gi|75798xxxx],Flavobacterium sp. Leaf82[gi|94477xxxx],Pseudomonas aeruginosa[gi|87237xxxx],Verminephrobacter eiseniae EF01-2[gi|12155xxxx],Clostridium sporogenes[gi|92733xxxx],,Enterobacter hormaechei subsp. oharae[gi|73355xxxx],Enterobacter hormaechei subsp. oharae[gi|77104xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79430xxxx]
349,Escherichia coli UMEA 3355-1[gi|53578xxxx],Photobacterium angustum[gi|76707xxxx],Vibrio parahaemolyticus EN2910[gi|75800xxxx],Xanthomonas campestris pv. campestris[gi|77122xxxx],Pseudomonas aeruginosa[gi|87238xxxx],Pseudomonas tolaasii[gi|51582xxxx],Clostridium sporogenes[gi|92674xxxx],,Enterobacter hormaechei subsp. oharae[gi|73380xxxx],Enterobacter kobei[gi|77105xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|80215xxxx]
350,Escherichia coli D6-117.29[gi|63388xxxx],Enterobacteriaceae[gi|65734xxxx],Vibrio parahaemolyticus 3644[gi|75804xxxx],Desulfovibrio sp. A2[gi|91546xxxx],Pseudomonas aeruginosa[gi|87239xxxx],Pseudomonas stutzeri[gi|75163xxxx],Lachnospiraceae bacterium A2[gi|50779xxxx],,Enterobacter hormaechei subsp. oharae[gi|73380xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77110xxxx],Cronobacter sakazakii[gi|81622xxxx]
351,Escherichia coli[gi|74826xxxx],Pseudoalteromonas[gi|51540xxxx],Vibrio parahaemolyticus EN9701121[gi|75804xxxx],Bordetella pseudohinzii[gi|75948xxxx],Pseudomonas aeruginosa[gi|87240xxxx],Pseudomonas stutzeri[gi|75108xxxx],Andreprevotia chitinilytica[gi|73706xxxx],,Enterobacter hormaechei subsp. oharae[gi|73381xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77112xxxx],Enterobacter cloacae[gi|82257xxxx]
352,Escherichia coli[gi|75571xxxx],Escherichia coli[gi|58528xxxx],Vibrio parahaemolyticus EN9701072[gi|75804xxxx],Bordetella pseudohinzii[gi|84906xxxx],Pseudomonas aeruginosa[gi|87240xxxx],Pectobacterium carotovorum[gi|74878xxxx],Pectobacterium carotovorum[gi|74878xxxx],,Enterobacter hormaechei subsp. oharae[gi|73381xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77114xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82282xxxx]
353,Escherichia coli[gi|75581xxxx],Vibrio[gi|44706xxxx],Shewanella putrefaciens[gi|50026xxxx],Bordetella pseudohinzii[gi|92859xxxx],Pseudomonas aeruginosa[gi|87243xxxx],Pectobacterium carotovorum subsp. carotovorum[gi|74109xxxx],Pectobacterium carotovorum subsp. carotovorum[gi|74109xxxx],,Enterobacter hormaechei subsp. oharae[gi|73381xxxx],Enterobacter hormaechei[gi|77115xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82283xxxx]
354,Enterobacter hormaechei[gi|91913xxxx],Vibrio parahaemolyticus[gi|77822xxxx],Shewanella putrefaciens CN-32[gi|14556xxxx],Pseudomonas fluorescens[gi|92196xxxx],Pseudomonas aeruginosa[gi|87244xxxx],Proteobacteria[gi|49849xxxx],Shewanella halifaxensis[gi|50123xxxx],,Enterobacter hormaechei subsp. oharae[gi|73382xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77116xxxx],Enterobacter hormaechei subsp. oharae[gi|82285xxxx]
355,Acinetobacter sp. NIPH 236[gi|49079xxxx],Vibrio ordalii[gi|51560xxxx],Pseudoalteromonas sp. P1-13-1a[gi|94064xxxx],Pseudomonas coronafaciens[gi|92434xxxx],Pseudomonas aeruginosa[gi|87246xxxx],Pseudomonas aeruginosa str. Stone 130[gi|47664xxxx],Shewanella halifaxensis HAW-EB4[gi|16735xxxx],,Enterobacter hormaechei subsp. oharae[gi|73382xxxx],Enterobacter cloacae complex sp. 35669[gi|77117xxxx],Enterobacter asburiae[gi|82285xxxx]
356,Acinetobacter sp. NIPH 236[gi|47987xxxx],Escherichia coli 909945-2[gi|55337xxxx],Pseudoalteromonas sp. P1-13-1a[gi|94044xxxx],Pseudomonas coronafaciens pv. porri[gi|92315xxxx],Pseudomonas aeruginosa[gi|87250xxxx],Pseudomonas aeruginosa BL22[gi|55259xxxx],Geobacillus sp. Y4.1MC1[gi|50316xxxx],,Enterobacter hormaechei subsp. oharae[gi|73383xxxx],Enterobacter hormaechei subsp. oharae[gi|77117xxxx],Enterobacter kobei[gi|82286xxxx]
357,Enterobacter cloacae[gi|55630xxxx],Yersinia rohdei[gi|93933xxxx],Vibrio parahaemolyticus[gi|91770xxxx],Pseudomonas coronafaciens pv. porri[gi|92316xxxx],Pseudomonas aeruginosa[gi|87251xxxx],Bordetella hinzii 5132[gi|62532xxxx],Geobacillus sp. Y4.1MC1[gi|31121xxxx],,Enterobacter hormaechei subsp. oharae[gi|73625xxxx],Enterobacter hormaechei subsp. hormaechei[gi|77118xxxx],Enterobacter cloacae[gi|82889xxxx]
358,Enterobacter cloacae UCICRE 12[gi|55503xxxx],Pantoea sp. MBLJ3[gi|74663xxxx],Psychromonas ingrahamii[gi|50009xxxx],Herminiimonas arsenicoxydans[gi|13373xxxx],Pseudomonas aeruginosa[gi|87255xxxx],Pseudomonas xanthomarina[gi|70340xxxx],Acinetobacter baumannii[gi|69102xxxx],,Enterobacter hormaechei subsp. oharae[gi|73855xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77118xxxx],Enterobacter cloacae[gi|82891xxxx]
359,Cronobacter sakazakii 696[gi|42323xxxx],Shewanella baltica[gi|50158xxxx],Psychromonas ingrahamii 37[gi|11986xxxx],Pseudomonas coronafaciens pv. porri[gi|94021xxxx],Pseudomonas aeruginosa[gi|87260xxxx],Kingella denitrificans ATCC 33394[gi|32498xxxx],Acinetobacter baumannii 4749[gi|58792xxxx],,Enterobacter hormaechei subsp. steigerwaltii[gi|74298xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77119xxxx],Enterobacter cloacae[gi|82892xxxx]
360,Pantoea agglomerans Tx10[gi|54860xxxx],Shewanella baltica OS223[gi|21750xxxx],Pseudoalteromonas[gi|75478xxxx],Achromobacter sp. 2789STDY5608608[gi|92861xxxx],Pseudomonas aeruginosa[gi|87261xxxx],Bradyrhizobium yuanmingense[gi|73805xxxx],Chondromyces crocatus[gi|90835xxxx],,Enterobacter hormaechei subsp. hormaechei[gi|74298xxxx],Enterobacter asburiae[gi|77121xxxx],Enterobacter asburiae[gi|82892xxxx]
361,Novosphingobium sp. MD-1[gi|80927xxxx],Photobacterium galatheae[gi|73885xxxx],Vibrio parahaemolyticus[gi|49941xxxx],Achromobacter sp. 2789STDY5608617[gi|92865xxxx],Pseudomonas aeruginosa[gi|87262xxxx],Pseudomonas amygdali[gi|49204xxxx],Chondromyces crocatus[gi|91345xxxx],,Klebsiella pneumoniae[gi|74902xxxx],Enterobacter hormaechei[gi|77125xxxx],Enterobacter cloacae[gi|82898xxxx]
362,Aggregatibacter aphrophilus[gi|91301xxxx],Photobacterium galatheae[gi|63657xxxx],Vibrio parahaemolyticus RIMD 2210633[gi|2890xxxx],Achromobacter sp. 2789STDY5608614[gi|92867xxxx],Pseudomonas aeruginosa[gi|87262xxxx],Pseudomonas amygdali pv. aesculi str. 0893_23[gi|33087xxxx],Acinetobacter[gi|49080xxxx],,Cronobacter malonaticus ENBT0334[gi|75864xxxx],Enterobacter hormaechei[gi|77125xxxx],Enterobacter kobei[gi|82920xxxx]
363,Aeromonas veronii[gi|49147xxxx],Aeromonas veronii[gi|76014xxxx],Vibrio parahaemolyticus RIMD 2210633[gi|2880xxxx],Cupriavidus sp. UYPR2.512[gi|51712xxxx],Pseudomonas aeruginosa[gi|87264xxxx],Pseudomonas amygdali pv. aesculi[gi|93999xxxx],Acinetobacter sp. NIPH 236[gi|47987xxxx],,Enterobacter cloacae BIDMC 33A[gi|76665xxxx],Enterobacter hormaechei[gi|77126xxxx],Enterobacter asburiae[gi|82926xxxx]
364,Aeromonas veronii AER39[gi|40461xxxx],Ferrimonas senticii[gi|65465xxxx],Vibrio alginolyticus[gi|82368xxxx],Janthinobacterium sp. KBS0711[gi|81749xxxx],Pseudomonas aeruginosa[gi|87264xxxx],Acinetobacter baumannii[gi|80817xxxx],Acinetobacter pittii[gi|94275xxxx],,Enterobacter cloacae[gi|76855xxxx],Enterobacter hormaechei[gi|77127xxxx],Enterobacter kobei[gi|82927xxxx]
365,Acinetobacter sp. C15[gi|92428xxxx],Shewanella colwelliana[gi|65535xxxx],Vibrio alginolyticus[gi|82348xxxx],Achromobacter xylosoxidans[gi|77719xxxx],Pseudomonas aeruginosa[gi|87265xxxx],Acinetobacter calcoaceticus/baumannii complex[gi|44653xxxx],Acinetobacter pittii[gi|94300xxxx],,Enterobacter cloacae[gi|76855xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77128xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82927xxxx]
366,Acinetobacter sp. C15[gi|92337xxxx],Shewanella piezotolerans[gi|52711xxxx],Vibrio ishigakensis[gi|74944xxxx],Achromobacter[gi|93548xxxx],Proteobacteria[gi|73033xxxx],Acinetobacter baumannii[gi|80816xxxx],Serratia sp. S4[gi|51650xxxx],,Enterobacter cloacae[gi|76856xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77129xxxx],Enterobacter hormaechei[gi|82929xxxx]
367,Acinetobacter[gi|49107xxxx],Shewanella piezotolerans WP3[gi|21255xxxx],Vibrio parahaemolyticus VPCR-2010[gi|53261xxxx],Burkholderia sp. URHA0054[gi|91654xxxx],Pseudomonas[gi|55376xxxx],Acinetobacter baumannii[gi|80817xxxx],Pseudomonas fluorescens[gi|63942xxxx],,Enterobacter cloacae[gi|76858xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|77133xxxx],Enterobacter asburiae[gi|82930xxxx]
368,Acinetobacter soli CIP 110264[gi|48001xxxx],Vibrio[gi|44596xxxx],Vibrio parahaemolyticus VP49[gi|62796xxxx],Hylemonella gracilis[gi|73763xxxx],Pseudomonas aeruginosa BWHPSA022[gi|55235xxxx],Acinetobacter baumannii[gi|80817xxxx],Methylophilus sp. TWE2[gi|90276xxxx],,Enterobacter cloacae[gi|76859xxxx],Enterobacter cloacae[gi|77246xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82932xxxx]
369,Acinetobacter soli[gi|94272xxxx],Vibrio sp. JCM 18905[gi|63516xxxx],Vibrio parahaemolyticus[gi|91647xxxx],Cupriavidus basilensis[gi|75962xxxx],Pseudomonas aeruginosa BWHPSA017[gi|55239xxxx],Cupriavidus sp. UYPR2.512[gi|51712xxxx],Methylophilus sp. TWE2[gi|89974xxxx],,Enterobacter cloacae[gi|76859xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79422xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx]
370,Pluralibacter gergoviae[gi|75935xxxx],Vibrio nigripulchritudo[gi|55022xxxx],Vibrio parahaemolyticus[gi|91648xxxx],Elizabethkingia meningoseptica[gi|51082xxxx],Pseudomonas aeruginosa BWHPSA003[gi|55244xxxx],Haemophilus influenzae PittGG[gi|14871xxxx],Xanthomonas euvesicatoria[gi|67047xxxx],,Enterobacter cloacae[gi|76860xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|79422xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82935xxxx]
